Silicon (Si)	Si1(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-3.218	0.	0.	0.
100	7.268	3.833	33.351	-2.952	0.	0.	0.
200	15.636	11.665	20.531	-1.773	0.	0.	0.
298.15	20.000	18.820	18.820	0.	0.	0.	0.
300	20.050	18.943	18.820	0.037	0.	0.	0.
400	22.142	25.032	19.636	2.159	0.	0.	0.
500	23.330	30.110	21.237	4.436	0.	0.	0.
600	24.154	34.440	23.086	6.812	0.	0.	0.
700	24.803	38.212	24.983	9.260	0.	0.	0.
800	25.359	41.562	26.850	11.769	0.	0.	0.
900	25.874	44.579	28.655	14.331	0.	0.	0.
1000	26.338	47.329	30.387	16.942	0.	0.	0.
1100	26.778	49.860	32.044	19.598	0.	0.	0.
1200	27.196	52.208	33.627	22.297	0.	0.	0.
1300	27.614	54.401	35.142	25.037	0.	0.	0.
1400	28.033	56.463	36.592	27.820	0.	0.	0.
1500	28.451	58.411	37.982	30.644	0.	0.	0.
1600	28.870	60.261	39.317	33.510	0.	0.	0.
1685.000	29.225	61.765	40.412	35.979	CRYSTAL <--> LIQUID
1685.000	27.196	91.562	40.412	86.187	TRANSITION
1700	27.196	91.803	40.864	86.595	0.	0.	0.
1800	27.196	93.357	43.738	89.315	0.	0.	0.
1900	27.196	94.827	46.388	92.034	0.	0.	0.
2000	27.196	96.222	48.846	94.754	0.	0.	0.
2100	27.196	97.549	51.133	97.473	0.	0.	0.
2200	27.196	98.815	53.272	100.193	0.	0.	0.
2300	27.196	100.023	55.279	102.913	0.	0.	0.
2400	27.196	101.181	57.167	105.632	0.	0.	0.
2500	27.196	102.291	58.950	108.352	0.	0.	0.
2600	27.196	103.358	60.638	111.071	0.	0.	0.
2700	27.196	104.384	62.239	113.791	0.	0.	0.
2800	27.196	105.373	63.762	116.511	0.	0.	0.
2900	27.196	106.327	65.214	119.230	0.	0.	0.
3000	27.196	107.249	66.600	121.950	0.	0.	0.
3100	27.196	108.141	67.925	124.669	0.	0.	0.
3200	27.196	109.005	69.196	127.389	0.	0.	0.
3300	27.196	109.842	70.415	130.109	0.	0.	0.
3400	27.196	110.653	71.586	132.828	0.	0.	0.
3500	27.196	111.442	72.714	135.548	0.	0.	0.
3504.616	27.196	111.478	72.765	135.673	LIQUID <--> IDEAL GAS
3504.616	23.023	221.204	72.765	520.221	FUGACITY = 1 bar
3600	23.046	221.822	76.706	522.419	0.	0.	0.
3700	23.066	222.454	80.637	524.725	0.	0.	0.
3800	23.081	223.070	84.377	527.032	0.	0.	0.
3900	23.093	223.669	87.941	529.341	0.	0.	0.
4000	23.102	224.254	91.341	531.651	0.	0.	0.
4100	23.108	224.825	94.590	533.961	0.	0.	0.
4200	23.111	225.381	97.698	536.272	0.	0.	0.
4300	23.113	225.925	100.673	538.583	0.	0.	0.
4400	23.112	226.457	103.526	540.895	0.	0.	0.
4500	23.111	226.976	106.264	543.206	0.	0.	0.
4600	23.108	227.484	108.893	545.517	0.	0.	0.
4700	23.104	227.981	111.422	547.827	0.	0.	0.
4800	23.100	228.467	113.855	550.138	0.	0.	0.
4900	23.096	228.943	116.199	552.447	0.	0.	0.
5000	23.092	229.410	118.459	554.757	0.	0.	0.
5100	23.089	229.867	120.639	557.066	0.	0.	0.
5200	23.087	230.316	122.744	559.374	0.	0.	0.
5300	23.086	230.755	124.777	561.683	0.	0.	0.
5400	23.086	231.187	126.744	563.992	0.	0.	0.
5500	23.087	231.610	128.647	566.300	0.	0.	0.
5600	23.091	232.026	130.489	568.609	0.	0.	0.
5700	23.098	232.435	132.274	570.918	0.	0.	0.
5800	23.108	232.837	134.005	573.228	0.	0.	0.
5900	23.121	233.232	135.683	575.539	0.	0.	0.
6000	23.135	233.621	137.312	577.851	0.	0.	0.
